idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
16933;AGNOLA MARIO;Total Erg;Strada Statale;stazione di servizio agnola mario;Statale 13 Pontebbana, Km. 179, dir. sud 33016;PONTEBBA;UD;46.5007286891516;13.3016778465576
23802;STAZIONE DI SERVIZIO DI TAVARIS STEFANO;Api-Ip;Altro;stazione di servizio ip di tavaris stefano;VIA UDINE  33050;PORPETTO;UD;45.8478871914542;13.212773501873
30162;PECILE LUIGINO;Agip Eni;Altro;PECILE LUIGINO;VIA RIO MAJOR 18 33040;POVOLETTO;UD;46.1538534605046;13.2913608849049
30690;DUEGI S.A.S. DI GATTESCO LUCA E C.;Q8;Altro;STAZIONE DI SERVIZIO Q8;VIA MONTE BIANCO 2 33040;POVOLETTO;UD;46.0968548768135;13.2887148857117
17626;MOSCHIONE LORIS;Agip Eni;Altro;MOSCHIONE;VIA BUTTRIO 59 33050;POZZUOLO DEL FRIULI;UD;46.0092154353313;13.2534007563446
36989;IP SERVICES S.R.L.;Total Erg;Altro;Pozzuolo del Friuli;via IV Genova snc   33050;POZZUOLO DEL FRIULI;UD;45.9769809723084;13.1983512639999
17483;PICCINI LEONARDO;Api-Ip;Altro;stazione di servizio IP;viale Europa 21 33050;POZZUOLO DEL FRIULI;UD;46.0015366386211;13.2067835330963
40344;SARNI S.R.L.;Sarni Oil;Autostradale;ZUGLIANO EST;Autostrada A23 PALMANOVA-UDINE, Km. 14,100, dir. NORD 33050;POZZUOLO DEL FRIULI;UD;46.0157295327938;13.2190605998039
40343;SARNI S.R.L.;Sarni Oil;Autostradale;ZUGLIANO OVEST;Autostrada A23 PALMANOVA-UDINE, Km. 14,100, dir. SUD ;POZZUOLO DEL FRIULI;UD;46.0147460241581;13.2184088230133
30322;POLICELLA DANIELE;Agip Eni;Altro;Distributore Eni di Policella Daniele;VIA UDINE 22 33040;PRADAMANO;UD;46.0331072063479;13.3016208478851
35273;AUTO METANO UDINE DI ROSSO CRISTIAN & C. SAS;Agip Eni;Altro;eni pradamano;via canapificio 55 15 33100;PRADAMANO;UD;46.0295048246694;13.2841423898935
7293;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;PRADAMANO SR 56 VIA NAZIONALE.;S.R. 56 Via Nazionale SN 33040;PRADAMANO;UD;46.0231306191641;13.2724928855896
7268;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;PRECENICCO - STRADA STATALE 14;SS. 14  33050;PRECENICCO;UD;45.794133908513;13.0314806441803
19170;FULL SERVICE DI MARGUTTI EDI E CASELLA LUCIA SNC;Api-Ip;Altro;full service ip;S.P.48 di Prepotto km 7+276   33040;PREMARIACCO;UD;46.0586526905258;13.3828161656857
44451;KAUR DAVINDERDEEP;Api-Ip;Altro;KAUR DAVINDERDEEP;S.P. 48 di Prepotto km. 7+276  33040;PREMARIACCO;UD;46.058637000123;13.382778000123
39018;GHULAM KHARIAN DI AHMED WAQAS SAS;Api-Ip;Strada Statale;IP;Statale 13 Pontebbana, Km. 48, dir. ENTRAMBE 33010;REANA DEL ROJALE;UD;46.1365658528843;13.2222946733236
7433;FIORITTO LUCIANO;Api-Ip;Altro;IP di FIORITTO LUCIANO;VIA DEL PONTE 4 33010;REANA DEL ROJALE;UD;46.1633693814181;13.2563408879928
